0.2 	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0700581 	1.15339 	1.78573 	3.1278 	4.21879 	4.4898 	5.93148 	7.7861 	8.85675 	9.47434 	10.1729 	11.0459 	12.0094 	13.0015 	14.0002 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.073581 	1.15105 	1.81098 	3.07088 	4.27101 	4.52149 	5.84575 	7.73212 	8.87889 	9.51263 	10.1944 	11.0534 	12.0113 	13.0019 	14.0003 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0740924 	1.14302 	1.84228 	3.01336 	4.31367 	4.56399 	5.76565 	7.67071 	8.8959 	9.55142 	10.2178 	11.062 	12.0135 	13.0023 	14.0003 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0716627 	1.12975 	1.87835 	2.95714 	4.34575 	4.61606 	5.6926 	7.60246 	8.90721 	9.59033 	10.2429 	11.0716 	12.0161 	13.0029 	14.0004 	15.0001 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0664747 	1.11191 	1.91776 	2.90404 	4.36658 	4.67626 	5.62791 	7.52812 	8.91228 	9.62895 	10.2698 	11.0823 	12.0191 	13.0035 	14.0005 	15.0001 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0588131 	1.09031 	1.95899 	2.85573 	4.37578 	4.74292 	5.57275 	7.44859 	8.91067 	9.66681 	10.2985 	11.0943 	12.0226 	13.0043 	14.0007 	15.0001 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0490505 	1.06588 	2.0005 	2.81371 	4.37338 	4.81424 	5.52809 	7.36488 	8.90198 	9.70344 	10.3287 	11.1077 	12.0266 	13.0052 	14.0008 	15.0001 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0376308 	1.03962 	2.0408 	2.77921 	4.3597 	4.88832 	5.49471 	7.27815 	8.88591 	9.73831 	10.3605 	11.1224 	12.0312 	13.0063 	14.001 	15.0001 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0250495 	1.01259 	2.07844 	2.75319 	4.33542 	4.9632 	5.47316 	7.18964 	8.86226 	9.77089 	10.3938 	11.1386 	12.0365 	13.0075 	14.0013 	15.0002 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0118336 	0.985845 	2.11215 	2.73633 	4.30153 	5.03689 	5.46374 	7.10067 	8.83095 	9.80062 	10.4282 	11.1563 	12.0425 	13.0091 	14.0016 	15.0002 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.00147975 	0.960395 	2.14078 	2.72896 	4.25926 	5.10749 	5.46648 	7.01262 	8.792 	9.82692 	10.4637 	11.1756 	12.0493 	13.0108 	14.0019 	15.0003 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0143648 	0.937177 	2.16345 	2.73109 	4.21012 	5.17317 	5.48115 	6.9269 	8.74557 	9.84925 	10.4999 	11.1966 	12.057 	13.0129 	14.0023 	15.0004 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0263266 	0.917021 	2.17947 	2.74241 	4.15577 	5.23226 	5.50728 	6.84491 	8.69196 	9.86704 	10.5366 	11.2192 	12.0656 	13.0153 	14.0029 	15.0004 	16.0001 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0369199 	0.900617 	2.18843 	2.76231 	4.09802 	5.28329 	5.54409 	6.76801 	8.63159 	9.87977 	10.5735 	11.2434 	12.0753 	13.018 	14.0035 	15.0005 	16.0001 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
